you,ты
crazy,сумасшедший
forget,забывать
everybody,все
kid,ребенок
change,изменять
gave,отдал
happen,случаться
damn,проклятие
five,пять
drink,напиток
far,далеко
knows,знает
its,его
whatever,что бы ни
eyes,глаза
shut,закрыть
aren,арен
hit,ударять
taking,принимая
easy,легкий
times,раз
check,проверять
hands,Руки
minutes,минуты
deal,иметь дело
different,другой
means,означает
point,точка
inside,внутри
makes,делает
asked,спросил
somebody,кто-нибудь
mine,мой
making,изготовление
body,тело
afraid,испуганный
sleep,спать
chance,шанс
dear,дорогой
quite,довольно
four,четыре
anyway,в любом случае
close,закрывать
ain,Эйн
party,вечеринка
fun,веселье
against,против
word,слово
comes,приходит
important,важный
set,набор
shall,должен
story,история
number,число
daughter,дочь
least,наименее
waiting,ожидающий
hurt,повредить
wish,желание
moment,момент
fight,драться
week,неделя
husband,муж
girls,девушки
rest,отдых
married,женатый
fire,огонь
game,игра
nobody,никто
mr,Мистер
children,дети
side,сторона
stand,стоять
read,читать
though,хотя
cut,резать
started,начал
sister,сестра
supposed,предполагаемый
between,между
child,ребенок
goes,идет
hours,часы
speak,говорить
women,женщины
behind,позади
almost,почти
truth,правда
blood,кровь
able,способный
lady,леди
anymore,больше
playing,играя
gets,получает
shot,выстрелил
reason,причина
trouble,беда
break,перерыв
war,война
city,город
walk,ходить
town,город
trust,доверять
dr.,доктор
met,встретил
office,офис
question,вопрос
brought,принес
yours,твой
welcome,добро пожаловать
high,высокий
wow,ух ты
couple,пара
half,половина
died,умер
cool,прохладный
free,бесплатно
either,или
seems,кажется
power,власть
whoa,эй
bye,пока
buy,купить
telling,рассказывать
honey,мед
tried,пытался
front,передний
team,команда
answer,отвечать
gun,пистолет
boys,мальчики
line,линия
send,отправлять
news,Новости
stupid,глупый
bed,кровать
hurry,торопиться
full,полный
months,месяцы
save,сохранять
sometimes,иногда
become,становиться
along,вдоль
hate,ненавидеть
food,еда
outside,снаружи
light,свет
l,л
needs,потребности
dog,собака
country,страна
clear,прозрачный
order,заказ
em,Эм
fact,факт
lord,господин
captain,капитан
six,шесть
hot,горячий
funny,забавный
black,черный
mrs.,Миссис.
alive,живой
pick,выбирать
feeling,чувство
living,жизнь
cause,причина
ahead,предстоящий
lose,терять
king,король
plan,план
dinner,ужин
sighs,вздыхает
sort,Сортировать
leaving,уход
shouldn,должен
running,бег
boss,босс
alright,хорошо
promise,обещать
taken,взятый
safe,безопасный
ma,ма
book,книга
sent,отправил
white,белый
hour,час
anybody,кто-нибудь
small,маленький
perfect,идеальный
lives,жизни
special,особенный
parents,родители
s,с
john,Джон
himself,сам
perhaps,возможно
sounds,звуки
serious,серьезный
sick,больной
company,компания
ha,ха
scared,испуганный
uncle,дядя
poor,бедный
red,красный
past,прошлое
earth,земля
possible,возможный
shoot,стрелять
touch,трогать
sound,звук
top,вершина
ass,жопа
laughs,смеется
cannot,не могу
asking,спрашивать
win,победить
glad,радостный
control,контроль
hmm,хм
human,человек
drive,водить машину
hair,волосы
jack,Джек
bitch,сука
luck,удача
murder,убийство
happens,случается
air,воздух
ten,десять
daddy,папочка
finally,окончательно
chuckles,посмеивается
fast,быстрый
cold,холодный
seem,казаться
laughing,смеющийся
words,слова
hospital,больница
street,улица
hang,вешать
dance,танцевать
meeting,встреча
till,до
others,другие
catch,ловить
follow,следовать
sense,смысл
sex,секс
lie,ложь
evening,вечер
master,владелец
known,известен
dream,мечтать
write,писать
million,миллион
voice,голос
sweet,сладкий
rather,скорее
felt,чувствовал себя
sign,знак
lucky,удачливый
somewhere,где-то
bet,делать ставку
o,о
jesus,Иисус
longer,дольше
calling,звоню
worked,работал
quiet,тихий
looked,смотрел
less,меньше
pull,тянуть
beat,бить
careful,осторожный
coffee,кофе
return,возвращаться
secret,секрет
weeks,недели
weren,не было
date,дата
seeing,видя
fall,падать
given,данный
ooh,ох
fault,вина
straight,прямой
takes,берет
song,песня
future,будущее
gentlemen,господа
loved,любил
changed,измененный
road,дорога
calm,спокойствие
wonderful,замечательный
mad,безумный
turned,повернулся
drop,уронить
ladies,дамы
learn,учиться
step,шаг
absolutely,абсолютно
early,рано
explain,объяснять
clean,чистый
piece,кусок
yesterday,вчера
throw,бросать
picture,картина
land,земля
feet,ноги
wonder,удивляться
questions,вопросы
speaking,Говорящий
worth,ценность
darling,милый
dude,чувак
giving,предоставление
president,президент
eye,глаз
quick,быстрый
moving,движущийся
figure,фигура
state,состояние
strong,сильный
sam,Сэм
none,никто
amazing,удивительный
ones,те
works,работает
act,действовать
needed,нужный
weird,странный
law,закон
worried,волновался
report,отчет
goodbye,до свидания
missing,отсутствующий
choice,выбор
happening,происходит
chief,главный
wedding,свадьба
strange,странный
general,общий
pain,боль
kidding,шутя
decided,решенный
ya,да
pass,проходить
tired,усталый
class,сорт
officer,офицер
kept,хранится
wake,будить
worse,худший
busy,занятый
eh,ага
mistake,ошибка
kiss,целовать
court,суд
building,здание
finish,заканчивать
during,в течение
age,возраст
ship,корабль
caught,пойманный
marry,выйти замуж
meant,имел в виду
sell,продавать
dark,темный
watching,наблюдаю
system,система
suppose,предполагать
evidence,доказательство
movie,фильм
ride,поездка
t,т
completely,полностью
mouth,рот
totally,полностью
birthday,день рождения
tv,ТВ
forgive,простить
born,рожденный
imagine,представлять себе
information,информация
instead,вместо
definitely,определенно
security,безопасность
certainly,конечно
film,фильм
month,месяц
lying,врущий
unless,пока не
train,тренироваться
seven,Семь
wear,носить
clothes,одежда
michael,Майкл
hotel,Гостиница
christmas,Рождество
attack,атака
hasn,не имеет
round,круглый
expect,ожидать
sing,петь
terrible,ужасный
george,Джордж
bag,сумка
history,история
blue,синий
near,около
broke,сломанный
station,станция
seriously,серьезно
forever,навсегда
david,Дэйвид
frank,откровенный
except,кроме
thinks,думает
message,сообщение
entire,весь
joe,Джо
table,стол
talked,говорили
across,через
rock,камень
lovely,прекрасный
handle,ручка
middle,середина
buddy,приятель
paid,оплаченный
protect,защищать
using,с использованием
floor,пол
ran,побежал
swear,ругаться
spend,тратить
situation,ситуация
ring,кольцо
anywhere,в любом месте
dangerous,опасный
bill,счет
york,Йорк
army,армия
lead,вести
bought,купил
finished,законченный
fair,справедливый
sun,солнце
letter,письмо
fool,дурак
attention,внимание
club,клуб
simple,простой
interesting,интересный
space,космос
test,тест
box,коробка
group,группа
single,одинокий
sitting,сидит
marriage,свадьба
join,присоединиться
fear,страх
peace,мир
forgot,забыл
force,сила
short,короткий
normal,нормальный
charlie,Чарли
present,подарок
enjoy,наслаждаться
mike,Майк
crime,преступление
horse,лошадь
ground,земля
american,американский
count,считать
area,область
charge,заряжать
honor,честь
lunch,обед
miles,миль
radio,радио
idiot,идиот
ball,мяч
surprise,сюрприз
paper,бумага
key,ключ
boat,лодка
quickly,быстро
gold,золото
bar,бар
fish,рыба
mark,отметка
tom,Том
wearing,утомительный
crying,плач
accident,несчастный случай
government,правительство
eight,восемь
fell,упал
cover,крышка
certain,определенный
interested,заинтересованный
deep,глубокий
star,звезда
sea,море
agree,соглашаться
problems,проблемы
detective,детектив
prison,тюрьма
major,главный
stick,палка
offer,предложение
difficult,трудный
smart,умный
personal,личный
record,записывать
stopped,остановился
hide,скрывать
whether,ли
bank,банк
trip,путешествие
relax,расслабляться
america,Америка
public,общественный
list,список
afternoon,полдень
brain,мозг
fix,исправить
bastard,сволочь
proud,гордый
tea,чай
service,услуга
screaming,кричать
forward,вперед
angry,злой
park,парк
soul,душа
fighting,борьба
peter,Питер
rich,богатый
agent,агент
blow,дуть
paul,Павел
dress,одеваться
mary,Мэри
missed,пропущенный
scene,сцена
killing,убийство
standing,стоя
saved,сохранено
mm,мм
respect,уважать
killer,убийца
ice,лед
mess,беспорядок
tough,жесткий
feels,чувствует
church,церковь
sad,грустный
cell,клетка
drunk,пьяный
share,делиться
camera,камера
mm-hmm,мм-хмм
within,в пределах
card,карта
fly,летать
ben,Бен
girlfriend,Подруга
laugh,смех
smell,запах
broken,сломанный
mum,мама
honest,честный
often,часто
starting,начиная
calls,звонки
y,й
spent,потраченный
third,третий
english,английский
visit,посещать
mama,мама
judge,судить
window,окно
hungry,голодный
dare,осмелиться
relationship,отношение
moved,взолнованный
prove,доказывать
private,частный
wall,стена
seat,сиденье
i-i,я-я
position,позиция
lieutenant,лейтенант
realize,понимать
lt,лт
especially,особенно
machine,машина
walking,гулять пешком
art,искусство
pleasure,удовольствие
bloody,кровавый
college,колледж
french,французский
involved,вовлеченный
cry,плакать
became,стал
lived,жил
impossible,невозможный
obviously,очевидно
neither,ни один
accept,принимать
boyfriend,дружок
besides,кроме
queen,королева
teacher,учитель
cops,полицейские
sake,ради
loves,любит
carry,нести
teach,учат
apartment,квартира
upset,расстройство
green,зеленый
la,ла
liked,понравилось
cute,милый
evil,зло
professor,профессор
contact,контакт
joke,шутить
cop,полицейский
huge,огромный
holy,святой
store,магазин
jail,тюрьма
likes,нравится
lawyer,адвокат
doubt,сомневаться
continue,продолжать
appreciate,ценить
cat,кот
shop,магазин
driving,вождение
congratulations,поздравления
wrote,написал
village,деревня
quit,покидать
field,поле
james,Джеймс
wine,вино
decision,решение
south,юг
sleeping,спать
slow,медленный
laughter,смех
island,остров
glass,стекло
beginning,начало
cash,наличные
dying,умирающий
hundred,сто
whose,чей
difference,разница
plane,самолет
push,толкать
continues,продолжается
mmm,М-м-м
singing,пение
eating,принимать пищу
north,север
mrs,Миссис
tree,дерево
madam,Госпожа
gift,подарок
truck,грузовик
putting,положить
bear,медведь
board,доска
grab,схватить
beer,пиво
stuck,застрявший
magic,магия
support,поддерживать
rules,правила
grunts,хрюкает
partner,партнер
reach,достигать
wind,ветер
colonel,полковник
max,Макс
immediately,немедленно
seconds,секунды
thousand,тысяча
gives,дает
experience,опыт
cheers,ваше здоровье
victim,жертва
upon,на
computer,компьютер
christ,Христос
planet,планета
promised,обещал
bus,автобус
henry,Генри
dirty,грязный
search,поиск
staying,пребывание
dreams,мечты
arrest,арестовать
holding,держа
suddenly,внезапно
usually,обычно
lots,много
shoes,обувь
er,эээ
jump,Прыгать
rid,избавлять
yo,Эй
knock,стучать
owe,быть должным
harry,Гарри
grow,расти
worst,худший
river,река
aunt,тетя
patient,пациент
kitchen,кухня
aah,ааа
fat,толстый
passed,прошедший
m,м
final,финальный
summer,лето
bob,Боб
listening,слушаю
escape,побег
everywhere,повсюду
moon,луна
arms,оружие
turns,поворачивается
address,адрес
ow,ой
match,соответствовать
gasps,задыхается
grand,грандиозный
yep,ага
shh,тсссс
nervous,нервный
de,де
choose,выбирать
themselves,сами себя
decide,решать
mate,приятель
drinking,питьевой
press,нажимать
bother,беспокоить
foot,ступня
hadn,имел
blame,обвинять
crap,дерьмо
drugs,наркотики
type,тип
rings,кольца
mission,миссия
named,названный
heaven,небеса
picked,выбрал
paris,Париж
race,раса
risk,риск
books,книги
further,дальше
danny,Дэнни
action,действие
allowed,допустимый
orders,заказы
learned,научился
price,цена
arrived,приехал
nick,Ник
otherwise,в противном случае
pictures,картинки
fit,соответствовать
smoke,курить
favor,услуга
played,играл
notice,уведомление
awesome,потрясающий
smile,улыбка
director,директор
guard,сторожить
begin,начинать
spot,место
surprised,удивлен
innocent,невиновный
narrator,рассказчик
herself,сама
london,Лондон
feelings,чувства
enemy,враг
battle,боевой
ourselves,мы сами
alex,Алекс
dollars,доллары
allow,позволять
nine,девять
gay,гей
department,отделение
guilty,виновный
apart,отдельно
earlier,ранее
duty,долг
jim,Джим
suit,подходить
bell,колокол
west,запад
legs,ноги
hero,герой
destroy,разрушать
stage,этап
bunch,связка
according,согласно
chicken,курица
bigger,больше
grunting,хрюканье
low,низкий
helping,помощь
admit,признавать
closed,закрыто
names,имена
witness,свидетель
upstairs,вверх по лестнице
arm,рука
steal,воровать
jimmy,Джимми
kick,пинать
twice,дважды
cross,крест
ways,способы
sergeant,сержант
indeed,действительно
gas,газ
keeping,сохранение
energy,энергия
pregnant,беременная
waste,напрасно тратить
helped,помог
fired,уволенный
favorite,любимый
tony,Тони
taste,вкус
locked,заперто
places,места
writing,письмо
adam,Адам
brothers,братья
starts,начинается
prince,принц
form,форма
sold,продал
silly,глупый
mention,упомянуть
build,строить
throat,горло
hole,дыра
figured,понял
track,отслеживать
ringing,звон
lock,замок
leg,нога
above,выше
hiding,прячется
steve,Стив
seemed,казалось
breakfast,завтрак
engine,двигатель
written,написано
complete,полный
video,видео
applause,аплодисменты
however,однако
pressure,давление
fresh,свежий
weapon,оружие
sky,небо
ms.,РС.
stole,украл
study,изучать
burn,гореть
reading,чтение
crowd,толпа
treat,обращаться
roll,рулон
double,двойной
spirit,дух
danger,Опасность
cost,расходы
empty,пустой
level,уровень
memory,Память
itself,сам
acting,действующий
interest,интерес
nose,нос
plans,планы
following,следующий
bathroom,ванная комната
built,построен
closer,ближе
ray,луч
sarah,Сара
band,группа
groans,стоны
apparently,видимо
excited,взволнованный
richard,Ричард
losing,потерять
animals,животные
flight,полет
nature,природа
raise,поднимать
pop,поп
client,клиент
bomb,бомбить
neck,шея
suspect,подозревать
warm,теплый
extra,дополнительный
bottle,бутылка
van,фургон
heavy,тяжелый
mommy,мама
dogs,собаки
wild,дикий
ridiculous,нелепый
simply,просто
lee,Ли
animal,животное
showed,показал
billy,Билли
shooting,стрельба
keeps,держит
camp,лагерь
guns,оружие
medical,медицинский
shame,стыд
hoping,надеясь
whom,кому
bird,птица
majesty,величество
flowers,цветы
famous,известный
asleep,спящий
beauty,красота
driver,Водитель
keys,ключи
rain,дождь
awful,ужасный
large,большой
local,местный
deserve,заслуживать
goddamn,черт возьми
stone,камень
jane,Джейн
grace,милость
consider,учитывать
weekend,выходные
wondering,интересный
lay,класть
plenty,множество
willing,готовый
pants,брюки
sweetheart,дорогой
skin,кожа
excellent,отличный
asshole,засранец
beach,пляж
c,с
faith,вера
beg,очень прошу
fuckin,блядь
responsible,ответственный
military,военный
cheering,аплодисменты
opportunity,возможность
common,общий
bottom,нижний
german,Немецкий
whoever,кто бы то ни было
cook,готовить
walked,ходил
papers,документы
justice,справедливость
hall,зал
commander,командир
drug,лекарство
main,основной
knife,нож
devil,дьявол
necessary,необходимый
although,хотя
princess,принцесса
lights,огни
flying,летающий
dick,хуй
rose,Роза
knowing,зная
clearly,четко
hat,шапка
agreed,согласованный
johnny,Джонни
corner,угол
code,код
note,примечание
tommy,Томми
due,должный
correct,правильный
apologize,извиняться
language,язык
stars,звезды
faster,Быстрее
cars,легковые автомобили
folks,близкие
bullshit,бред сивой кобылы
i.,я.
fellow,парень
several,несколько
grandma,бабушка
shows,шоу
leader,лидер
leaves,листья
restaurant,ресторан
east,восток
shouting,кричать
blind,слепой
ghost,призрак
cup,чашка
gotten,получил
tight,тугой
conversation,беседа
tells,рассказывает
lies,ложь
nor,ни
pulled,вытащил
hanging,висит
speed,скорость
stories,истории
health,здоровье
advice,совет
held,держал
uh-huh,Ага
murdered,убит
beyond,вне
rule,правило
hardly,едва ли
possibly,возможно
inspector,инспектор
cousin,двоюродный брат
trial,пробный
emergency,чрезвычайная ситуация
ought,должен
eddie,Эдди
somehow,как-то
hearing,слушание
states,состояния
account,счет
spoke,говорил
file,файл
understood,понял
angel,ангел
tape,лента
milk,молоко
powerful,мощный
weapons,оружие
practice,упражняться
manager,менеджер
pardon,прощение
vote,голосование
jake,Джейк
national,национальный
career,карьера
minister,министр
super,супер
taught,учил
robert,Роберт
biggest,самый большой
plays,игры
natural,естественный
dancing,танцы
copy,копировать
plus,плюс
martin,Мартин
cake,торт
freedom,свобода
among,среди
breath,дыхание
operation,операция
chris,Крис
crew,экипаж
challenge,испытание
market,рынок
meat,мясо
towards,к
bringing,приведение
dropped,упавший
student,студент
lied,солгал
strength,сила
size,размер
breathe,дышать
color,цвет
monster,монстр
loud,громкий
photo,Фото
aw,оу
nearly,около
sight,взгляд
greatest,величайший
games,игры
bridge,мост
dressed,одет
arrested,арестован
horrible,ужасный
coach,тренер
planning,планирование
checked,проверено
breaking,ломать
noticed,заметил
fantastic,фантастика
screams,крики
serve,служить
ideas,идеи
investigation,расследование
center,центр
older,старшая
pack,пакет
soldiers,солдаты
nonsense,ерунда
doc,док
project,проект
training,обучение
example,пример
trick,обманывать
prepared,готовый
science,наука
united,объединенный
travel,путешествовать
incredible,невероятный
grandpa,дедушка
paying,платить
character,характер
teeth,зубы
criminal,преступник
charles,Чарльз
chinese,Китайский
truly,действительно
honestly,честно
bro,братан
survive,выживать
bobby,Бобби
target,цель
feed,кормить
nurse,медсестра
e,е
fake,фальшивый
records,записи
breathing,дыхание
sweetie,милый
numbers,цифры
oil,масло
suicide,самоубийство
belong,принадлежать
whoo,ууу
perfectly,в совершенстве
amy,Эми
forgotten,забытый
remain,оставаться
original,оригинальный
papa,папа
onto,на
concerned,обеспокоенный
credit,кредит
ugh,фу
invited,приглашенный
discuss,обсуждать
research,исследовать
easier,Полегче
view,вид
chair,стул
hurts,болит
strike,ударять
roger,Роджер
fill,наполнять
condition,состояние
mountain,гора
dr,доктор
nowhere,нигде
sheriff,шериф
kim,Ким
turning,превращение
brown,коричневый
recognize,распознавать
heads,головы
audience,аудитория
jealous,ревнивый
pretend,притворяться
society,общество
finding,нахождение
shirt,рубашка
comfortable,комфортный
meaning,значение
guest,гость
pieces,куски
dry,сухой
letting,сдача в аренду
began,начал
aye,да
jeff,Джефф
female,женский
release,выпускать
ho,хо
cards,карты
pray,молиться
unfortunately,к сожалению
balls,мячи
destroyed,уничтожен
ended,закончился
universe,вселенная
prepare,подготовить
opinion,мнение
movies,кино
soldier,солдат
wash,стирать
program,программа
heat,нагревать
usual,обычный
ticket,билет
stolen,украденный
prefer,предпочитать
aware,осведомленный
surely,конечно
male,мужской
base,база
matters,имеет значение
lift,поднимать
lab,лаборатория
command,команда
proof,доказательство
cream,крем
selling,продажа
believed,верил
create,создавать
h,час
afford,предоставлять
sunday,воскресенье
total,общий
dumb,тупой
threw,бросил
france,Франция
birth,рождение
created,созданный
realized,осуществленный
british,британский
noise,шум
nuts,орехи
students,студенты
birds,птицы
social,Социальное
brilliant,блестящий
bodies,тела
tie,галстук
opened,открыт
ours,наш
bucks,баксы
kevin,Кевин
mister,Господин
ugly,уродливый
ryan,Райан
focus,фокус
dan,Дэн
opens,открывается
exist,существовать
followed,подписан
england,Англия
draw,рисовать
purpose,цель
letters,буквы
daniel,Дэниел
opening,открытие
bullet,пуля
anna,Анна
lately,недавно
stayed,остались
falling,падение
season,время года
ends,заканчивается
suggest,предлагать
joy,радость
distance,расстояние
responsibility,ответственность
whenever,в любое время
issue,проблема
thousands,тысячи
process,процесс
sword,меч
shower,душ
weak,слабый
fucked,трахнул
lonely,одинокий
happiness,счастье
eric,Эрик
tiny,крошечный
desk,рабочий стол
pool,бассейн
property,свойство
forced,принужденный
settle,решить
indistinct,нечеткий
weight,масса
received,полученный
gang,банда
bite,кусать
friday,пятница
disappeared,исчезнувший
interview,интервью
expecting,ожидая
kinda,как бы
surgery,операция
horses,лошади
mayor,мэр
babe,детка
ancient,древний
handsome,красивый
thomas,Томас
saturday,суббота
staff,персонал
lines,линии
unit,единица
fan,вентилятор
gentleman,джентльмен
introduce,представлять
fate,судьба
split,расколоть
recently,недавно
expected,ожидал
add,добавлять
ordered,заказал
slowly,медленно
alarm,тревога
member,член
slept,спала
signed,подписано
enter,входить
spanish,испанский
garden,сад
brings,приносит
brave,храбрый
pig,свинья
model,модель
finger,Палец
medicine,лекарство
access,доступ
failed,неуспешный
flat,плоский
easily,легко
discovered,обнаруженный
based,основанный на
screw,винт
insane,безумный
cares,заботы
weather,погода
fingers,пальцы
san,Сан
scott,Скотт
path,путь
soft,мягкий
harm,вред
style,стиль
community,сообщество
sees,видит
basically,по сути
al,аль
signal,сигнал
nope,неа
spare,запасной
speech,речь
covered,покрытый
shake,трясти
loose,свободный
snow,снег
russian,русский
lake,озеро
bright,яркий
roof,крыша
ohh,ох
sending,отправка
paint,краска
remind,напоминать
pal,приятель
naked,голый
post,почта
sugar,сахар
heading,заголовок
streets,улицы
damage,повреждать
silence,тишина
doors,двери
pete,Пит
ed,Эд
success,успех
wet,влажный
nah,Неа
amount,количество
members,члены
kate,Катя
manage,управлять
safety,безопасность
returned,вернулся
harder,Сильнее
fbi,ФБР
block,блокировать
showing,показывая
fancy,изысканный
chef,повар
contract,договор
dig,копать
chest,грудь
good-bye,до свидания
drinks,напитки
dave,Дэйв
buried,похороненный
brian,Брайан
trade,торговля
journey,путешествие
stomach,желудок
changes,изменения
details,подробности
thoughts,мысли
divorce,развод
funeral,похороны
maria,Мария
football,футбол
reality,реальность
theory,теория
gosh,черт возьми
ruined,разрушенный
gate,ворота
william,Уильям
spread,распространение
outta,сбился
japanese,Японский
sudden,внезапный
coat,пальто
sooner,раньше
cheese,сыр
larry,Ларри
spring,весна
page,страница
ears,уши
simon,Саймон
castle,замок
hidden,скрытый
storm,буря
cos,потому что
personally,лично
artist,художник
hill,холм
exciting,захватывающий
permission,разрешение
jerry,Джерри
expensive,дорогой
tickets,Билеты
forest,лес
barely,едва
eggs,яйца
goin,входить
regret,сожалеть
lesson,урок
lover,возлюбленный
bread,хлеб
andy,Энди
subject,предмет
legal,юридический
growing,растет
ill,больной
jason,Джейсон
mood,настроение
owner,владелец
caused,вызванный
beeping,звуковой сигнал
points,точки
dating,встречаться
loss,потеря
secretary,секретарь
revenge,месть
santa,Санта
likely,вероятный
rent,арендовать
connection,связь
assistant,помощник
reasons,причины
yelling,кричать
painting,рисование
trees,деревья
doctors,врачи
rush,торопиться
foreign,иностранный
rough,грубый
murderer,убийца
century,век
nights,ночи
pair,пара
runs,бежит
pocket,карман
farm,ферма
matt,матовый
bike,велосипед
obvious,очевидный
ate,ел
grew,вырос
professional,профессиональный
tim,Тим
goodness,доброта
parts,части
alan,Алан
university,Университет
square,квадрат
grandfather,Дед
europe,Европа
genius,гений
cases,случаи
ruin,разорение
winter,зима
tongue,язык
memories,воспоминания
da,да
buying,покупка
cancer,рак
clock,Часы
ocean,океан
dna,ДНК
liar,лжец
tour,тур
thief,вор
bleep,пищать
lisa,Лиза
rights,права
including,включая
competition,соревнование
smith,Смит
planned,запланировано
emily,Эмили
boring,скучный
victims,жертвы
mentioned,упомянул
bones,кости
plant,растение
bless,благословить
warning,предупреждение
knocking,стучать
re,ре
crash,крушение
bedroom,Спальня
lower,ниже
silver,серебро
groaning,стоны
madame,мадам
defense,защита
results,Результаты
toilet,туалет
event,событие
complicated,сложный
shape,форма
priest,священник
royal,королевский
cheap,дешевый
romantic,романтический
downstairs,вниз по лестнице
invite,приглашать
fortune,удача
tears,слезы
avoid,избегать
reached,достиг
higher,выше
familiar,привычный
telephone,телефон
burning,горящий
filled,заполненный
kelly,Келли
alice,Алиса
airport,аэропорт
jobs,рабочие места
grown,вырос
walter,Уолтер
rachel,Рэйчел
giant,гигант
insurance,страхование
woods,леса
n,н
scare,пугать
pleased,довольный
period,период
political,политический
player,игрок
stops,останавливается
secrets,секреты
laura,Лора
repeat,повторить
photos,фото
finds,находит
statement,заявление
suck,сосать
younger,моложе
china,Китай
humans,люди
delicious,вкусный
particular,особый
proper,правильный
rome,Рим
belongs,принадлежит
attacked,атакован
bath,ванна
hired,наемный
site,сайт
knowledge,знание
b,б
led,вел
guests,гости
